2631,碧桂园凰城,9663,(汉南汉南其它)马影河大道碧桂园凰城,1至1.8元/平米/月,131栋,1994户
2632,纱帽正街157号,5034,(汉南汉南其它)纱帽正街157号,暂无信息,1栋,12户
2633,碧桂园翠堤春晓,8785,(汉南汉南其它)马影河大道碧桂园翠堤春晓,0.6至1元/平米/月,57栋,1166户
2634,薇湖水岸,6846,(汉南汉南其它)薇湖路400号,暂无信息,29栋,1474户
2635,新长江香榭澜溪一期,7139,(汉南汉南其它)兴城大道与汉 南大道交汇处,1.7元/平米/月,8栋,926户
2636,永丰清华园,8015,(汉南汉南其它)兴城大道与月亮湾路交汇处,1.5元/平米/月,8栋,1444户
2637,御景华府二期,7662,(汉南汉南其它)兴城大道御景华府,暂无信息,7栋,684户
2638,佳锦花园,0,(汉南汉南其它)纱帽街纱河南路,1.2至1.3元/平米/月,3栋,226户
2639,新城庭瑞君悦观澜,0,(汉南汉南其它)纱帽正街与坛山路交汇处,暂无信息,44栋,1793户
2640,天仪豪庭,0,(汉南汉南其它)兴城大道西侧,暂无信息,2栋,338户
2641,锦深汉南公馆,0,(汉南汉南其它)兴城大道锦深汉南公馆,暂无信息,7栋,545户
2642,兰亭风华,0,(汉南汉南其它)马影河大道兰亭风华,暂无信息,8栋,1602户
2643,大学城金街,0,(汉南汉南其它)纱帽正街669号,3元/平米/月,3栋,429户
2644,航城丽都,0,(汉南汉南其它)陡埠路航城丽都,暂无信息,6栋,618户
2645,新长江香榭澜溪三期,0,(汉南汉南其它)兴城大道与汉南大道交汇处,暂无信息,2栋,790户
2646,沙河公寓,0,(汉南汉南其它)纱河南路沙河公寓,暂无信息,3栋,119户
2647,银莲路147号,0,(汉南汉南其它)银莲路147号,暂无信息,1栋,12户
2648,和谐家园,0,(汉南汉南其它)解放大道和谐家园,暂无信息,1栋,120户
2649,汉南大道379号,0,(汉南汉南其它)汉南大道379号,暂无信息,1栋,10户
2650,紫阳楚世家,9240,(汉南汉南其它)纱帽正街与兴城大道交汇处向西900米,0.5元/平米/月,5栋,764户
2651,恒大时代新城,0,(汉南汉南其它)马影河大道88号,暂无信息,37栋,3878户
2652,御河兰亭,6928,(汉南汉南其它)朱家山路御河兰亭,暂无信息,7栋,652户
2653,锦绣鑫苑,6543,(汉南汉南其它)银莲路175号,暂无信息,3栋,136户
2654,峰悦,11280,(汉南汉南其它)马影河大道峰悦,暂无信息,4栋,50户
2655,汉江春苑,6639,(汉南汉南其它)汉南大道1255号,暂无信息,1栋,48户
2656,锦绣鑫城,8189,(汉南汉南其它)银莲路175号,暂无信息,2栋,270户
2657,创业巷45号,5103,(汉南汉南其它)创业巷45号,暂无信息,1栋,12户
2658,左岸凤凰城,8249,(汉南汉南其它)月亮湾路左岸凤凰城,暂无信息,2栋,259户
2659,滨湖苑,6444,(汉南汉南其它)桂庄路滨湖苑,暂无信息,6栋,108户
2660,汉江春苑,6639,(汉南汉南其它)汉南大道1255号,暂无信息,1栋,48户
2661,创业巷45号,5103,(汉南汉南其它)创业巷45号,暂无信息,1栋,12户
2662,汉南区育才教师小区,5532,(汉南汉南其它)银莲路144号,暂无信息,1栋,36户
2663,左岸凤凰城,8249,(汉南汉南其它)月亮湾路左岸凤凰城,暂无信息,2栋,259户
2664,恒大时代新城,0,(汉南汉南其它)马影河大道88号,暂无信息,37栋,3878户
2665,碧桂园凰城悦山湖,9350,(汉南汉南其它)马影河大道汉南高速出口,暂无信息,15栋,1548户
2666,峰悦,11280,(汉南汉南其它)马影河大道峰悦,暂无信息,4栋,50户
2667,江湾华庭,0,(汉南汉南其它)汉 南大道（汉 南兴城大道与和谐路交汇处 ）,1.2元/平米/月,7栋,474户
2668,中央名都,6582,(汉南汉南其它)月亮湾路中央名都,暂无信息,3栋,325户
2669,万顺公寓,0,(汉南汉南其它)月亮湾路万顺公寓,暂无信息,1栋,49户
2670,汉南家园,0,(汉南汉南其它)汉南大道39号,暂无信息,2栋,43户
2671,浅月湾映翠湾,11022,(汉南汉南其它)武监高速浅月湾映翠湾,暂无信息,2栋,3户
2672,南国江城,6829,(汉南汉南其它)滨江路90号,暂无信息,22栋,942户
2673,圆梦08庄园1-3期,8260,(汉南汉南其它)经济开发 区南二路,1.2元/平米/月,11栋,812户
2674,薇湖路,5274,(汉南汉南其它)薇湖路,暂无信息,3栋,34户
2675,江景湾,17853,(汉南汉南其它)兴城大道与兴一路交汇处(汉南一中旁),1.5元/平米/月,19栋,1046户
2676,蔷薇轩122号,0,(汉南汉南其它)白花街蔷薇轩122号,暂无信息,1栋,14户
2677,翠堤春晓七街,12399,(汉南汉南其它)翠堤春晓七街,暂无信息,1栋,13户
2678,绿地城北岛左岸,11787,(汉南汉南其它)兴一路绿地城北岛左岸,1.9元/平米/月,5栋,110户
2679,碧桂园凰城峰景,11793,(汉南汉南其它)马影河大道碧桂园凰城峰景,暂无信息,9栋,18户
2680,薇湖路455号,0,(汉南汉南其它)薇湖路455号,暂无信息,1栋,12户
2681,开来百花苑,5748,(汉南汉南其它)滨江路33号,暂无信息,8栋,186户
2682,新长江香榭澜溪二期,6312,(汉南汉南其它)兴城大道与汉南大道交汇处,1.7元/平米/月,11栋,1726户
2683,梦泽园,5935,(汉南汉南其它)何家畈139号,暂无信息,7栋,392户
